StateName,TotalPop,VotePop,Registered,PercentReg,Voted,PercentVote
ALABAMA,3717.00,3651.00,2526.00,68.00,2095.00,57.40
ALASKA,518.00,502.00,358.00,69.10,308.00,61.30
ARIZONA,5196.00,4585.00,3145.00,60.50,2769.00,60.40
ARKANSAS,2216.00,2116.00,1456.00,65.70,1241.00,58.70
CALIFORNIA,29894.00,24890.00,16096.00,53.80,14416.00,57.90
COLORADO,4242.00,3895.00,2893.00,68.20,2707.00,69.50
CONNECTICUT,2759.00,2483.00,1763.00,63.90,1586.00,63.90
DELAWARE,729.00,669.00,487.00,66.80,417.00,62.30
DISTRICT OF COLUMBIA,553.00,512.00,420.00,75.90,380.00,74.30
FLORIDA,16202.00,14428.00,9604.00,59.30,8578.00,59.50
GEORGIA,7626.00,7048.00,4892.00,64.10,4246.00,60.20
HAWAII,1064.00,974.00,530.00,49.80,460.00,47.30
IDAHO,1224.00,1150.00,790.00,64.50,714.00,62.10
ILLINOIS,9723.00,8970.00,6665.00,68.50,5719.00,63.80
INDIANA,4988.00,4795.00,3298.00,66.10,2795.00,58.30
IOWA,2394.00,2292.00,1657.00,69.20,1454.00,63.40
KANSAS,2142.00,2029.00,1438.00,67.10,1243.00,61.30
KENTUCKY,3348.00,3246.00,2253.00,67.30,1850.00,57.00
LOUISIANA,3463.00,3353.00,2446.00,70.60,2067.00,61.60
MAINE,1058.00,1038.00,830.00,78.50,754.00,72.70
MARYLAND,4623.00,4158.00,3114.00,67.30,2737.00,65.80
MASSACHUSETTS,5374.00,4967.00,3660.00,68.10,3315.00,66.70
MICHIGAN,7624.00,7332.00,5434.00,71.30,4713.00,64.30
MINNESOTA,4190.00,3985.00,3055.00,72.90,2738.00,68.70
MISSISSIPPI,2203.00,2170.00,1725.00,78.30,1470.00,67.70
MISSOURI,4626.00,4486.00,3333.00,72.10,2906.00,64.80
MONTANA,798.00,790.00,581.00,72.80,521.00,65.90
NEBRASKA,1407.00,1336.00,1008.00,71.70,893.00,66.80
NEVADA,2234.00,1975.00,1371.00,61.40,1195.00,60.50
NEW HAMPSHIRE,1044.00,1012.00,763.00,73.10,698.00,69.00
NEW JERSEY,6862.00,5958.00,4165.00,60.70,3665.00,61.50
NEW MEXICO,1547.00,1396.00,916.00,59.20,765.00,54.80
NEW YORK,15506.00,13751.00,9142.00,59.00,7869.00,57.20
NORTH CAROLINA,7631.00,6960.00,5194.00,68.10,4700.00,67.50
NORTH DAKOTA,583.00,564.00,424.00,72.80,362.00,64.20
OHIO,8811.00,8499.00,6128.00,69.50,5408.00,63.60
OKLAHOMA,2923.00,2746.00,1861.00,63.70,1555.00,56.60
OREGON,3185.00,2929.00,2147.00,67.40,1942.00,66.30
PENNSYLVANIA,9980.00,9596.00,6909.00,69.20,6008.00,62.60
RHODE ISLAND,836.00,766.00,538.00,64.40,464.00,60.60
SOUTH CAROLINA,3733.00,3598.00,2575.00,69.00,2233.00,62.10
SOUTH DAKOTA,631.00,612.00,437.00,69.30,362.00,59.10
TENNESSEE,5057.00,4872.00,3251.00,64.30,2630.00,54.00
TEXAS,20172.00,17378.00,11724.00,58.10,9626.00,55.40
UTAH,2096.00,1969.00,1398.00,66.70,1234.00,62.70
VERMONT,500.00,488.00,351.00,70.20,305.00,62.50
VIRGINIA,6343.00,5829.00,4399.00,69.40,3973.00,68.20
WASHINGTON,5592.00,5104.00,3906.00,69.90,3382.00,66.30
WEST VIRGINIA,1434.00,1425.00,913.00,63.60,723.00,50.80
WISCONSIN,4465.00,4354.00,3323.00,74.40,3068.00,70.50
WYOMING,436.00,427.00,304.00,69.70,277.00,64.80
